Name,Volatility,Strike,Spot,Interest rate,Dividend
L'OREAL,14.01454495,238.4,238.4,2.881152461,3.85
VINCI SA,16.68529114,85.96,85.96,3.022813272,2.67
UNIBAIL-RODAMCO-WESTFIELD,16.35464276,152.64,152.64,1.882189047,10.8
TOTAL SA,19.70963744,49.63,49.63,4.122088447,2.169518948
AIR LIQUIDE SA,16.34661721,112.85,112.85,2.151088348,2.65
DASSAULT SYSTEMES SA,20.22950227,132.1,132.1,1.242,0.58
AXA SA,11.77790353,22.34,22.34,0,1.34
BNP PARIBAS,26.60258995,41.375,41.375,0,3.02
DANONE,16.49611121,67.74,67.74,2.114949952,1.94
CAPGEMINI SE,26.10423539,104.7,104.7,1.813048001,1.7
CARREFOUR SA,14.47651395,16.5,16.5,1.494544911,0.46
COMPAGNIE DE SAINT GOBAIN,26.51260804,31.075,31.075,2.982107356,1.3
ACCOR SA,22.45072756,36.69,36.69,2.171428571,1.05
ESSILORLUXOTTICA,40.17457278,98.68,98.68,0.303490137,2.04
VIVENDI,11.81148312,25.77,25.77,1.447963801,0.5
LVMH MOET HENNESSY LOUIS VUI,15.78702358,322.4,322.4,1.424274593,6
MICHELIN (CGDE),21.5689589,103.85,103.85,5.341314608,3.7
KERING,19.27700285,503.2,503.2,1.677792169,10.5
PEUGEOT SA,30.44631045,21.05,21.05,4.086342655,0.78
PUBLICIS GROUPE,16.5973329,47.79,47.79,2.013673089,2.12
RENAULT SA,27.9645948,56.8,56.8,0.721895896,3.55
SODEXO SA,19.2008468,97.18,97.18,2.920870951,2.75
SAFRAN SA,15.90939671,118.3,118.3,1.667397982,1.82
VALEO SA,33.67709388,26.09,26.09,1.959489212,1.25
HERMES INTERNATIONAL,15.47053369,589.6,589.6,0,4.1
TECHNIPFMC PLC,31.44506225,20.66,20.66,11.98752284,0
ENGIE,12.53594284,13.215,13.215,2.209246792,1.12
ORANGE,16.7622438,14.405,14.405,4.205480691,0.7
ARCELORMITTAL,38.749169,17.974,17.974,5.407107158,0.2
BOUYGUES SA,22.85241458,31.66,31.66,3.655704547,1.7
VEOLIA ENVIRONNEMENT,12.95290839,19.805,19.805,2.215038064,0.92
SANOFI,13.99274329,78.48,78.48,1.968141945,3.07
SOCIETE GENERALE SA,31.93188213,25.37,25.37,0,2.2
SCHNEIDER ELECTRIC SE,22.18395183,68.58,68.58,3.186656722,2.2
AIRBUS SE,24.55404224,116.28,116.28,3.889502762,1.65
LEGRAND SA,18.18059289,58.86,58.86,2.486795775,1.34
CREDIT AGRICOLE SA,27.19704071,10.49,10.49,0,0.69
ATOS SE,24.56190841,86.22,86.22,0.868267535,1.2
PERNOD RICARD SA,14.83707708,159.85,159.85,4.396822464,2.36
STMICROELECTRONICS NV,43.86836008,14.14,14.14,2.990861257,0.06
HSBC HOLDINGS PLC,16.33529318,613.4,613.4,0,0.51
BP PLC,20.06068762,550.6,550.6,4.115353913,0.405
ROYAL DUTCH SHELL PLC-A SHS,17.85660376,2394.5,2394.5,4.369526553,1.88
ROYAL DUTCH SHELL PLC-B SHS,17.70719976,2404,2404,4.369526553,1.88
ASTRAZENECA PLC,18.95662162,6420,6420,4.014084507,2.8
GLAXOSMITHKLINE PLC,16.78904281,1564.2,1564.2,3.137672931,0.8
DIAGEO PLC,16.08654606,3129,3129,4.170185811,0.653
BRITISH AMERICAN TOBACCO PLC,31.4024701,3089.5,3089.5,3.312740437,2.03
RIO TINTO PLC,23.27875679,4313.5,4313.5,8.050507517,3.07
UNILEVER PLC,16.9115149,4361.5,4361.5,2.463295269,1.5488
LLOYDS BANKING GROUP PLC,22.17309594,61.81,61.81,0,0.0321
PRUDENTIAL PLC,26.3121511,1546,1546,0,0.4935
RECKITT BENCKISER GROUP PLC,25.20453987,6386,6386,3.257881973,1.707
VODAFONE GROUP PLC,19.13469415,142.74,142.74,2.945536972,0.1507
BHP GROUP PLC,22.44436653,1786,1786,4.769636341,0.98
GLENCORE PLC,23.11362309,308.6,308.6,5.054549675,0.2
RELX PLC,17.25294467,1624.5,1624.5,3.150284042,0.421
NATIONAL GRID PLC,10.17251394,889.7,889.7,4.082297378,0.4459
COMPASS GROUP PLC,8.854998955,1753.5,1753.5,2.719790051,0.377
BARCLAYS PLC,26.20623246,153.76,153.76,0,0.065
IMPERIAL BRANDS PLC,17.65879494,2573,2573,4.049869622,1.8779
TESCO PLC,17.6124159,229,229,3.599495489,0.03
ANGLO AMERICAN PLC,30.19582273,1998,1998,5.74921211,0.51
CRH PLC,23.19592189,2288,2288,3.874624104,0.72
EXPERIAN PLC,25.93567262,2036,2036,3.232692894,0.4475
BT GROUP PLC,16.93032674,222.7,222.7,3.66088632,0.154
LEGAL & GENERAL GROUP PLC,23.65720827,268.8,268.8,0,0.1642
AVIVA PLC,23.22826396,405.5,405.5,0,0.3
STANDARD CHARTERED PLC,24.65971717,576,576,0,0.21
ROLLS-ROYCE HOLDINGS PLC,16.50023676,892.4,892.4,2.625766871,0
BAE SYSTEMS PLC,27.70442722,454.5,454.5,4.867573372,0.222
LONDON STOCK EXCHANGE GROUP,19.64725889,4607,4607,3.464870067,0.432
SMITH & NEPHEW PLC,16.0603967,1506,1506,4.048027444,0.36
SSE PLC,10.68659928,1221,1221,0.686519418,0.947
ROYAL BANK OF SCOTLAND GROUP,35.34399797,247.2,247.2,0,0
FERGUSON PLC,37.42873374,4806.5,4806.5,2.554179567,1.893
WPP PLC,21.91784234,800,800,4.210013004,0.6
WHITBREAD PLC,26.63930031,5026,5026,4.29545939,1.0115
INFORMA PLC,27.35553917,733.4,733.4,4.249118684,0.1485
3I GROUP PLC,16.61211815,956,956,0,0.3
MELROSE INDUSTRIES PLC,30.07669883,181.3,181.3,7.408922524,0.046
