Tickers;Name;Volatility;Spot;Interest_Rate;Dividend
OR FP EQUITY;L'OREAL;14,01454495;238,4;2,881152461;3,85
DG FP EQUITY;VINCI SA;16,68529114;85,96;3,022813272;2,67
URW NA EQUITY;UNIBAIL-RODAMCO-WESTFIELD;16,35464276;152,64;1,882189047;10,8
FP FP EQUITY;TOTAL SA;19,70963744;49,63;4,122088447;2,169518948
AI FP EQUITY;AIR LIQUIDE SA;16,34661721;112,85;2,151088348;2,65
DSY FP EQUITY;DASSAULT SYSTEMES SA;20,22950227;132,1;1,242;0,58
CS FP EQUITY;AXA SA;11,77790353;22,34;0;1,34
BNP FP EQUITY;BNP PARIBAS;26,60258995;41,375;0;3,02
BN FP EQUITY;DANONE;16,49611121;67,74;2,114949952;1,94
CAP FP EQUITY;CAPGEMINI SE;26,10423539;104,7;1,813048001;1,7
CA FP EQUITY;CARREFOUR SA;14,47651395;16,5;1,494544911;0,46
SGO FP EQUITY;COMPAGNIE DE SAINT GOBAIN;26,51260804;31,075;2,982107356;1,3
AC FP EQUITY;ACCOR SA;22,45072756;36,69;2,171428571;1,05
EL FP EQUITY;ESSILORLUXOTTICA;40,17457278;98,68;0,303490137;2,04
VIV FP EQUITY;VIVENDI;11,81148312;25,77;1,447963801;0,5
MC FP EQUITY;LVMH MOET HENNESSY LOUIS VUI;15,78702358;322,4;1,424274593;6
ML FP EQUITY;MICHELIN (CGDE);21,5689589;103,85;5,341314608;3,7
KER FP EQUITY;KERING;19,27700285;503,2;1,677792169;10,5
UG FP EQUITY;PEUGEOT SA;30,44631045;21,05;4,086342655;0,78
PUB FP EQUITY;PUBLICIS GROUPE;16,5973329;47,79;2,013673089;2,12
RNO FP EQUITY;RENAULT SA;27,9645948;56,8;0,721895896;3,55
SW FP EQUITY;SODEXO SA;19,2008468;97,18;2,920870951;2,75
SAF FP EQUITY;SAFRAN SA;15,90939671;118,3;1,667397982;1,82
FR FP EQUITY;VALEO SA;33,67709388;26,09;1,959489212;1,25
RMS FP EQUITY;HERMES INTERNATIONAL;15,47053369;589,6;0;4,1
FTI FP EQUITY;TECHNIPFMC PLC;31,44506225;20,66;11,98752284;0
ENGI FP EQUITY;ENGIE;12,53594284;13,215;2,209246792;1,12
ORA FP EQUITY;ORANGE;16,7622438;14,405;4,205480691;0,7
MT NA EQUITY;ARCELORMITTAL;38,749169;17,974;5,407107158;0,2
EN FP EQUITY;BOUYGUES SA;22,85241458;31,66;3,655704547;1,7
VIE FP EQUITY;VEOLIA ENVIRONNEMENT;12,95290839;19,805;2,215038064;0,92
SAN FP EQUITY;SANOFI;13,99274329;78,48;1,968141945;3,07
GLE FP EQUITY;SOCIETE GENERALE SA;31,93188213;25,37;0;2,2
SU FP EQUITY;SCHNEIDER ELECTRIC SE;22,18395183;68,58;3,186656722;2,2
AIR FP EQUITY;AIRBUS SE;24,55404224;116,28;3,889502762;1,65
LR FP EQUITY;LEGRAND SA;18,18059289;58,86;2,486795775;1,34
ACA FP EQUITY;CREDIT AGRICOLE SA;27,19704071;10,49;0;0,69
